proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,prev_pkt_time_src,prev_pkt_time_dst,pkt_sizes_src,pkt_sizes_dst,syn_time,synack_time,Sttl,Dttl,Swin,Dwin
TCP,,24.353941202163696,66,444,[50],"[128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,8,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512]",0,0,66.0,55.5,0,0,[],[],1756417774.4941614,1756417798.8481026,0.0,3.4791344574519565,24.08810067176819,8,7,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417774.760002,1756417798.8481026,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",1756417774.760002,,50.0,128.0,8192.0,8478.0
UDP,,0.6229379177093506,5464,4578,"[56, 56, 56, 56, 56, 56, 56]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,,0,0,7,10,[],[],0,0,780.5714285714286,457.8,0,0,[],[],1756417778.79974,1756417779.422678,0.09378282229105632,0.06669796837700738,,0,0,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417779.422678,1756417779.4000218,"[1292, 1292, 998, 343, 1292, 178, 69]","[1292, 1292, 120, 1292, 79, 79, 155, 77, 80, 112]",,,56.0,128.0,0.0,0.0
TCP,,0.07853055000305176,55,66,[128],[108],0,0,,0,0,1,1,[507],[7606],1,0,55.0,66.0,0,0,[],[],1756417782.2382042,1756417782.3167348,0.0,0.0,,1,1,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417782.2382042,1756417782.3167348,[55],[66],,,128.0,108.0,507.0,7606.0
UDP,,0.07388877868652344,90,148,[64],"[128, 128]",0,0,DNS,0,0,1,2,[],[],0,0,90.0,74.0,0,0,[],[],1756417782.8149266,1756417782.8888154,0.0,0.04266524314880371,,0,0,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417782.8888154,1756417782.8575919,[90],"[74, 74]",,,64.0,128.0,0.0,0.0
TCP,,9.366692304611206,5909,1906,"[49, 49, 49, 49, 49, 49, 49, 49, 49, 49]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,,0,0,10,13,"[65535, 66, 66, 66, 67, 67, 67, 67, 67, 67]","[64240, 512, 512, 512, 512, 512, 512, 512, 511, 511, 512, 512, 0]",5357,1144,590.9,146.6153846153846,0,0,[],[],1756417782.8946478,1756417792.2613401,1.0320064226786296,0.7805576920509338,9.288057804107666,13,12,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417792.2613401,1756417792.2613401,"[66, 1434, 788, 1434, 133, 133, 355, 1434, 78, 54]","[66, 54, 571, 66, 66, 54, 681, 66, 54, 66, 54, 54, 54]",1756417782.9732823,,49.0,128.0,6613.5,5374.615384615385
UDP,,0.0,350,0,[64],[],0,0,,0,0,1,0,[],[],0,0,350.0,0.0,0,0,[],[],1756417783.2574062,1756417783.2574062,0.0,0.0,,0,0,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417783.2574062,,[350],[],,,64.0,0.0,0.0,0.0
TCP,,15.004889249801636,66,390,[51],"[128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,7,[8192],"[64240, 512, 512, 512, 512, 512, 512]",0,0,66.0,55.714285714285715,0,0,[],[],1756417784.7826226,1756417799.7875118,0.0,2.5008148749669394,14.636450052261353,7,6,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417785.1510618,1756417799.7875118,[66],"[66, 54, 54, 54, 54, 54, 54]",1756417785.1510618,,51.0,128.0,8192.0,9616.0
UDP,,0.13407278060913086,430,184,"[64, 64]","[128, 128]",0,0,DNS,0,0,2,2,[],[],0,0,215.0,92.0,0,0,[],[],1756417784.8049138,1756417784.9389865,0.04878807067871094,0.09700989723205566,,0,0,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417784.9389865,1756417784.9019237,"[215, 215]","[92, 92]",,,64.0,128.0,0.0,0.0
TCP,,1.76869797706604,3778,5710,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[108, 108, 108, 108, 108, 108, 108, 108, 108, 108]",0,0,,0,0,14,10,"[64240, 512, 512, 511, 511, 511, 512, 512, 512, 512, 511, 509, 509, 509]","[65535, 16385, 16383, 16383, 16383, 16383, 16387, 16387, 16387, 16387]",2966,5158,269.85714285714283,571.0,0,0,[],[],1756417784.9061465,1756417786.6748445,0.12050769879267766,0.17065752877129448,1.76869797706604,10,10,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417786.4727466,1756417786.6748445,"[66, 54, 571, 491, 66, 74, 66, 54, 1434, 662, 54, 54, 78, 54]","[66, 153, 1434, 405, 1434, 1434, 54, 157, 519, 54]",1756417784.9061465,,128.0,108.0,5063.071428571428,21300.0
TCP,,3.8815436363220215,5609,5710,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[108, 108, 108, 108, 108, 108, 108, 108, 108, 108]",0,0,,0,0,14,10,"[64240, 512, 512, 511, 512, 512, 510, 510, 510, 510, 508, 508, 508, 508]","[65535, 16385, 16383, 16383, 16383, 16383, 16387, 16387, 16383, 0]",4829,5158,400.64285714285717,571.0,0,0,[],[],1756417788.5294113,1756417792.410955,0.28656258949866664,0.40239471859402126,3.8815436363220215,10,10,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417792.254725,1756417792.410955,"[66, 54, 571, 491, 66, 54, 1434, 1434, 1121, 54, 54, 78, 54, 78]","[66, 153, 1434, 1434, 1434, 405, 157, 54, 519, 54]",1756417788.5294113,,128.0,108.0,5062.214285714285,19660.9
TCP,,0.14854836463928223,279,309,"[128, 128, 128, 128]","[46, 47, 47, 47, 47]",0,0,,0,0,4,5,"[507, 507, 507, 507]","[82, 82, 82, 0, 0]",63,39,69.75,61.8,0,0,[],[],1756417790.121975,1756417790.2705233,0.02346173922220866,0.03713709115982056,,3,3,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417790.1983926,1756417790.2705233,"[93, 78, 54, 54]","[93, 54, 54, 54, 54]",,,128.0,46.8,507.0,49.2
UDP,,0.028136014938354492,215,92,[64],[128],0,0,DNS,0,0,1,1,[],[],0,0,215.0,92.0,0,0,[],[],1756417792.2332041,1756417792.2613401,0.0,0.0,,0,0,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417792.2613401,1756417792.2332041,[215],[92],,,64.0,128.0,0.0,0.0
UDP,,0.03573870658874512,300,92,[64],[128],0,0,DNS,0,0,1,1,[],[],0,0,300.0,92.0,0,0,[],[],1756417792.2342029,1756417792.2699416,0.0,0.0,,0,0,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417792.2699416,1756417792.2342029,[300],[92],,,64.0,128.0,0.0,0.0
TCP,,6.975830554962158,66,336,[50],"[128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,6,[8192],"[64240, 512, 512, 512, 512, 512]",0,0,66.0,56.0,0,0,[],[],1756417795.1221485,1756417802.097979,0.0,1.3951661109924316,6.65319299697876,6,5,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417795.444786,1756417802.097979,[66],"[66, 54, 54, 54, 54, 54]",1756417795.444786,,50.0,128.0,8192.0,11133.333333333334
